start,end,tID,notes,TAG,TIME,X,Y,NBS,VARX,VARY,COVXY,SD,Timestamp,bird_id,date,long,lat,ID,gps_mean_x,gps_mean_y,n,error_dist
2020/08/21 17:06:09.749+00,2020/08/21 17:06:09.749+00,WP072,,31001001060,1598029569749,650522.541263188,5901739.29448226,"5",12.0134,24.5723,14.3903,8.08494279509756,2020/08/21 17:06:09.749+00,"1060",2020/08/21,5.25578765992057,53.2435567643469,14,650528.175175278,5901748.08845346,"14",10.4438927087108
2020/08/21 17:06:10.749+00,2020/08/21 17:06:10.749+00,WP072,,31001001060,1598029570749,650522.541263188,5901739.29448226,"5",9.02613,20.5012,11.2605,7.21445285520669,2020/08/21 17:06:10.749+00,"1060",2020/08/21,5.25585743104418,53.2436079718227,14,650528.175175278,5901748.08845346,"14",10.4438927087108
2020/08/21 17:06:11.749+00,2020/08/21 17:06:11.749+00,WP072,,31001001060,1598029571749,650526.92427508,5901745.13678681,"5",9.4847,20.6645,11.4833,7.28805872643738,2020/08/21 17:06:11.749+00,"1060",2020/08/21,5.25575769255603,53.2435483261856,14,650528.175175278,5901748.08845346,"14",3.20578966032838
2020/08/21 17:06:12.749+00,2020/08/21 17:06:12.749+00,WP072,,31001001060,1598029572749,650527.754663912,5901746.74830722,"5",8.97362,19.621,11.1402,7.13267271084269,2020/08/21 17:06:12.749+00,"1060",2020/08/21,5.25587062660416,53.2436222112395,14,650528.175175278,5901748.08845346,"14",1.40457174173078
2020/08/21 17:06:13.748+00,2020/08/21 17:06:13.748+00,WP072,,31001001060,1598029573748,650527.754663912,5901746.74830722,"5",11.6153,20.9241,12.2521,7.5527213638529,2020/08/21 17:06:13.748+00,"1060",2020/08/21,5.25587062660416,53.2436222112395,14,650528.175175278,5901748.08845346,"14",1.40457174173078
2020/08/21 17:06:14.748+00,2020/08/21 17:06:14.748+00,WP072,,31001001060,1598029574748,650523.053370061,5901741.80431759,"5",10.805,22.0335,12.7081,7.6324766622637,2020/08/21 17:06:14.748+00,"1060",2020/08/21,5.25577372610722,53.2435387925763,14,650528.175175278,5901748.08845346,"14",8.10698787632306
2020/08/21 17:06:15.748+00,2020/08/21 17:06:15.748+00,WP072,,31001001060,1598029575748,650523.053370061,5901741.43056388,"5",10.0783,20.4881,11.5596,7.32704578940244,2020/08/21 17:06:15.748+00,"1060",2020/08/21,5.25579789450817,53.2435791366075,14,650528.175175278,5901748.08845346,"14",8.40002275786688
2020/08/21 17:06:16.748+00,2020/08/21 17:06:16.748+00,WP072,,31001001060,1598029576748,650525.065468324,5901741.43056388,"5",10.2387,20.8678,12.2707,7.45975200660183,2020/08/21 17:06:16.748+00,"1060",2020/08/21,5.25582784638776,53.2435752091369,14,650528.175175278,5901748.08845346,"14",7.34831756166616
2020/08/21 17:06:17.748+00,2020/08/21 17:06:17.748+00,WP072,,31001001060,1598029577748,650525.065468324,5901741.43056388,"5",11.9857,21.2735,13.0614,7.70597171030364,2020/08/21 17:06:17.748+00,"1060",2020/08/21,5.25582784638776,53.2435752091369,14,650528.175175278,5901748.08845346,"14",7.34831756166616
2020/08/21 17:06:18.748+00,2020/08/21 17:06:18.748+00,WP072,,31001001060,1598029578748,650525.065468324,5901741.43056388,"5",11.2185,22.4092,13.5198,7.7889216198393,2020/08/21 17:06:18.748+00,"1060",2020/08/21,5.25575470544955,53.2435366606177,14,650528.175175278,5901748.08845346,"14",7.34831756166616
